revid,timestamp,label,description,alias,action,language,property
141662778,2014-06-30T10:33:07Z,zh-hant,,,update,zh-hant,P1363
141662918,2014-06-30T10:33:48Z,,zh-hant,,add,zh-hant,P1363
141662948,2014-06-30T10:33:56Z,zh-hant,,,update,zh-hant,P1363
141662969,2014-06-30T10:34:02Z,zh,,,add,zh,P1363
141662995,2014-06-30T10:34:09Z,,zh,,add,zh,P1363
142211518,2014-07-02T19:03:02Z,be,,,add,be,P1363
142756250,2014-07-06T08:07:35Z,es,,,add,es,P1363
142756260,2014-07-06T08:07:40Z,,en,,update,en,P1363
142756287,2014-07-06T08:08:00Z,,es,,add,es,P1363
144468467,2014-07-13T22:10:59Z,fr,,,add,fr,P1363
144468530,2014-07-13T22:11:19Z,,fr,,add,fr,P1363
144468966,2014-07-13T22:13:51Z,fr,,,update,fr,P1363
144622882,2014-07-14T14:34:13Z,bn,,,add,bn,P1363
150111931,2014-08-09T11:23:06Z,ca,,,add,ca,P1363
150418012,2014-08-11T11:17:24Z,,,nl,add,nl,P1363
150418027,2014-08-11T11:17:28Z,,,nl,update,nl,P1363
156001796,2014-09-05T23:19:30Z,de,,,add,de,P1363
156084107,2014-09-06T19:31:32Z,de,,,update,de,P1363
159431005,2014-09-23T17:23:27Z,mk,,,add,mk,P1363
179045794,2014-12-04T23:36:37Z,it,,,add,it,P1363
179045808,2014-12-04T23:37:20Z,,it,,add,it,P1363
179045809,2014-12-04T23:37:23Z,it,,,update,it,P1363
179045812,2014-12-04T23:37:32Z,,,it,add,it,P1363
179045813,2014-12-04T23:37:37Z,,,it,add,it,P1363
183900971,2014-12-26T19:00:31Z,nl,,,update,nl,P1363
195287667,2015-02-10T11:34:48Z,,ja,,add,ja,P1363
195287676,2015-02-10T11:34:50Z,ja,,,add,ja,P1363
221695197,2015-06-08T21:48:44Z,,ru,,add,ru,P1363
221695200,2015-06-08T21:48:45Z,,,ru,add,ru,P1363
285226027,2015-12-23T05:59:12Z,,,es,add,es,P1363
285226029,2015-12-23T05:59:12Z,,,en,add,en,P1363
317619663,2016-03-31T20:56:06Z,cs,,,add,cs,P1363
317619664,2016-03-31T20:56:06Z,,cs,,add,cs,P1363
317619669,2016-03-31T20:56:07Z,,,cs,add,cs,P1363
341756308,2016-05-30T16:28:06Z,ar,,,add,ar,P1363
341756311,2016-05-30T16:28:07Z,,ar,,add,ar,P1363
409634184,2016-11-20T11:54:29Z,el,,,add,el,P1363
469254126,2017-03-21T22:45:41Z,he,,,add,he,P1363
469254131,2017-03-21T22:45:42Z,,he,,add,he,P1363
556374975,2017-09-11T12:51:05Z,ro,,,add,ro,P1363
590485940,2017-11-08T01:59:14Z,ko,,,add,ko,P1363
590485942,2017-11-08T01:59:15Z,,ko,,add,ko,P1363
601482162,2017-12-01T03:20:04Z,uk,,,add,uk,P1363
601482164,2017-12-01T03:20:05Z,,uk,,add,uk,P1363
601482167,2017-12-01T03:20:05Z,,,uk,add,uk,P1363
695899514,2018-06-14T21:13:37Z,eu,,,add,eu,P1363
696301101,2018-06-15T11:36:29Z,,,en,add,en,P1363
